lat,lon,geom,binary,country,map,glad,digital-earth-africa,ensemble
3.015509661,37.70018143,POINT(37.700181433578635 3.015509661496616),0,Kenya,0,0,,
3.168043597,40.81356255,POINT(40.81356254528007 3.168043596740111),0,Kenya,0,0,,
-0.834400152,36.94523727,POINT(36.94523726880459 -0.834400151654418),0,Kenya,0,0,,
-1.182587156,40.38596447,POINT(40.385964470039184 -1.182587155779144),0,Kenya,0,0,,
-1.604436013,38.06552626,POINT(38.06552625963005 -1.604436013201671),0,Kenya,0,0,,
2.014247446,37.44559888,POINT(37.445598882059166 2.014247445816997),0,Kenya,0,0,,
4.207574044,40.7228327,POINT(40.722832701584004 4.207574043523221),0,Kenya,0,0,,
2.615849192,38.39907072,POINT(38.39907072462363 2.61584919159184),0,Kenya,0,0,,
3.162563874,41.07209768,POINT(41.07209768404967 3.162563873506981),0,Kenya,0,0,,
0.050170909,35.44810502,POINT(35.448105016290995 0.050170908618075),0,Kenya,0,0,,
3.749253586,35.52913305,POINT(35.529133054918574 3.749253585565441),0,Kenya,0,0,,
3.89585864,35.4856546,POINT(35.48565459516719 3.895858639933747),0,Kenya,0,0,,
1.389289503,36.52302909,POINT(36.52302908526841 1.389289502655046),0,Kenya,0,0,,
0.07730003,36.61232162,POINT(36.612321624509896 0.077300030198485),0,Kenya,0,0,,
-1.715377951,39.17045406,POINT(39.170454059097054 -1.715377950790432),0,Kenya,0,0,,
2.557997687,36.14789262,POINT(36.147892622620105 2.557997687294543),0,Kenya,0,0,,
1.357309479,39.16272855,POINT(39.16272854765363 1.357309478540391),0,Kenya,0,0,,
-2.451726989,39.30708781,POINT(39.307087813811634 -2.451726989183204),0,Kenya,0,0,,
-1.345900874,39.78588986,POINT(39.78588986024734 -1.345900874432073),0,Kenya,0,0,,
3.062761045,35.97182283,POINT(35.97182282693267 3.062761045441302),0,Kenya,0,0,,
2.205049612,36.16783522,POINT(36.167835221927554 2.205049612163983),0,Kenya,0,0,,
4.220779278,34.87408155,POINT(34.87408154973862 4.220779278199777),0,Kenya,0,0,,
-0.441656709,34.55113721,POINT(34.55113720509765 -0.441656709437363),1,Kenya,0,0,,
1.050355146,40.02214678,POINT(40.022146779970775 1.05035514595675),0,Kenya,0,0,,
2.427741971,37.76998053,POINT(37.76998053115472 2.427741971097213),0,Kenya,0,0,,
2.915167844,37.80438601,POINT(37.8043860065365 2.915167844260465),0,Kenya,0,0,,
-3.000058639,39.80268836,POINT(39.80268835606038 -3.00005863860976),0,Kenya,0,0,,
-0.749329694,36.71643637,POINT(36.716436365939344 -0.749329694248299),0,Kenya,0,0,,
3.898104428,35.1617221,POINT(35.16172210371369 3.898104428144046),0,Kenya,0,0,,
-0.685189983,40.74232614,POINT(40.74232614324939 -0.685189982962165),0,Kenya,0,0,,
1.487834689,37.41963757,POINT(37.41963757034811 1.487834689322958),0,Kenya,0,0,,
3.316624945,35.63603257,POINT(35.6360325737288 3.31662494473348),0,Kenya,0,0,,
-1.821199491,35.58419978,POINT(35.5841997818351 -1.821199491259712),0,Kenya,0,0,,
3.608307917,40.34356399,POINT(40.34356398862874 3.608307917487088),0,Kenya,0,0,,
3.291741611,40.06643372,POINT(40.066433723477864 3.291741611363368),0,Kenya,0,0,,
0.282834567,37.99141525,POINT(37.99141524869018 0.282834567205031),0,Kenya,0,0,,
3.752038363,34.39662698,POINT(34.39662697622909 3.752038362946212),0,Kenya,0,0,,
0.822183064,39.62042018,POINT(39.620420184912525 0.822183063790392),0,Kenya,0,0,,
0.748341547,40.24924088,POINT(40.24924088379619 0.748341547435767),0,Kenya,0,0,,
3.822286618,40.29927705,POINT(40.29927704512165 3.822286618164358),0,Kenya,0,0,,
0.11664624,39.06759696,POINT(39.06759695906537 0.11664623964292),0,Kenya,0,0,,
3.092585113,41.26631345,POINT(41.26631344847631 3.092585112874071),0,Kenya,0,0,,
0.708186854,36.46023685,POINT(36.46023684690846 0.708186854235625),0,Kenya,0,0,,
-1.652765375,38.25075887,POINT(38.25075887121549 -1.652765375487302),0,Kenya,0,0,,
-2.442204847,37.48862818,POINT(37.48862818416849 -2.442204847171537),0,Kenya,0,0,,
2.702087459,37.82343029,POINT(37.823430290559834 2.702087458867314),0,Kenya,0,0,,
3.592407737,41.40707945,POINT(41.40707945349784 3.592407736958172),0,Kenya,0,0,,
2.499786857,38.70234196,POINT(38.70234196454238 2.499786856883599),0,Kenya,0,0,,
-3.19759817,37.83151513,POINT(37.83151512811691 -3.197598169587643),0,Kenya,0,0,,
1.404560862,35.8056345,POINT(35.80563449937056 1.404560862485078),0,Kenya,0,0,,
4.25204065,34.74616145,POINT(34.74616145328 4.252040650087137),0,Kenya,0,0,,
-0.481182582,36.40499046,POINT(36.40499045693511 -0.481182581938622),0,Kenya,0,0,,
2.233885533,38.03318691,POINT(38.03318690940174 2.23388553278422),0,Kenya,0,0,,
1.501039924,39.62581008,POINT(39.62581007661724 1.501039923999514),0,Kenya,0,0,,
3.415798952,37.87310713,POINT(37.87310712577165 3.415798952100274),0,Kenya,0,0,,
-1.035982101,40.45046351,POINT(40.45046350743896 -1.035982101410838),0,Kenya,0,0,,
3.100220793,37.79010279,POINT(37.790102793519 3.100220792789087),0,Kenya,0,0,,
-3.255539505,39.13092819,POINT(39.130928186595796 -3.255539505413352),0,Kenya,0,0,,
4.346723081,36.40346332,POINT(36.403463320952106 4.346723081033335),0,Kenya,0,0,,
3.716375246,34.97379455,POINT(34.97379454627589 3.716375246166666),0,Kenya,0,0,,
-0.735405807,34.84039473,POINT(34.84039472658414 -0.735405807344446),0,Kenya,0,0,,
2.072009119,37.74150394,POINT(37.74150393664814 2.072009118585882),0,Kenya,0,0,,
3.997368267,37.37777608,POINT(37.37777607810814 3.997368267039253),0,Kenya,0,0,,
-2.464842392,38.45081368,POINT(38.45081368498891 -2.464842392331349),0,Kenya,0,0,,
3.654660986,40.44543294,POINT(40.44543294184789 3.654660986147655),0,Kenya,0,0,,
2.081171934,36.89331465,POINT(36.89331464538248 2.081171934483901),0,Kenya,0,0,,
0.178629994,34.99849822,POINT(34.99849821658918 0.178629994247167),0,Kenya,0,0,,
